province,latitude,longitude,rainfall,soil_ph,crop,yield,year
West Kalimantan,0.7313,112.3939,3284,5.05,Palm Oil,3.55,2023
Riau Islands,-0.1721,104.66,2549,6.51,Coconut,3.61,2024
Southeast Sulawesi,-3.7564,122.4373,2033,5.33,Rice,4.88,2022
Bali,-8.2479,114.5624,2412,5.92,Coffee,1.2,2021
East Nusa Tenggara,-8.4012,123.4993,1226,5.51,Rice,4.36,2023
North Maluku,0.9559,128.0133,2707,6.31,Coconut,3.86,2016
North Sulawesi,1.5828,124.9783,2548,5.73,Coconut,4.11,2019
Aceh,4.562,96.3068,2135,5.73,Corn,3.35,2022
Central Sulawesi,-1.4216,120.4337,2197,5.74,Rice,4.59,2017
Central Kalimantan,-2.8499,114.2137,2798,4.65,Rubber,0.79,2024
Special Region of Yogyakarta,-8.1029,110.6403,2984,5.6,Rice,4.8,2023
Jakarta Special Capital Region,-6.1938,106.8265,1813,6.02,Urban Vegetables,5.19,2016
West Sumatra,-0.421,100.9418,2581,4.73,Cinnamon,0.84,2021
East Kalimantan,-0.2519,116.0179,2559,5.22,Rubber,0.97,2022
Central Java,-7.2109,109.6519,2679,6.15,Corn,4.01,2016
Southeast Sulawesi,-3.2148,121.2325,1949,5.66,Cocoa,1.8,2023
Central Kalimantan,-1.4367,111.8252,2992,4.81,Rubber,1.07,2021
Special Region of Yogyakarta,-8.081,110.5005,2864,5.85,Corn,4.01,2018
Bengkulu,-3.3862,102.4135,2341,5.0,Coffee,1.55,2020
West Sulawesi,-2.7192,119.063,1934,6.46,Coconut,3.64,2017
West Sumatra,-0.9594,98.9253,2817,5.4,Rice,4.41,2023
Jambi,-2.064,101.3542,2376,5.51,Coffee,1.45,2018
Jambi,-1.913,102.0541,2104,5.03,Rubber,0.81,2015
Central Sulawesi,-0.7411,123.2707,2267,5.37,Cocoa,1.71,2024
North Sumatra,1.3955,99.324,2868,4.57,Rubber,0.88,2018
South Kalimantan,-2.594,115.4315,2964,5.05,Palm Oil,4.23,2019
